representation,projection,seed,native_dim,probe_dim,stage_c,boundary_c,boundary_threshold,stage_macro_f1,stage_balanced_accuracy,stage_0_precision,stage_0_recall,stage_1_precision,stage_1_recall,terminal_test_samples,probe_latency_ms_per_sample,feature_hook_latency_ms_per_step,model_inference_latency_ms_per_step,peak_vram_bytes,host_rss_delta_bytes,boundary_event_f1_at_5,boundary_event_f1_at_10,boundary_median_abs_error,false_boundaries_per_episode,no_boundary_failure_fpr
R3_vlm_hidden,native,41,2048,2048,0.1,0.1,0.95,0.8963943222086528,0.9147575588253555,0.9956331877729258,0.8351648351648352,0.7963800904977375,0.9943502824858758,11,0.003425646767652205,0.03353342980651244,205.0831428423303,6387723264,0,0.0,0.08695652173913043,18.0,1.3333333333333333,1.0
R3_vlm_hidden,native,53,2048,2048,100.0,0.01,0.7,0.9792616818956501,0.9792626728110598,0.9727272727272728,0.9861751152073732,0.985981308411215,0.9723502304147466,12,0.003540174814699293,0.03566764909143482,209.84981611801186,6387723264,0,0.0,0.0,20.5,1.0833333333333333,nan
R3_vlm_hidden,native,67,2048,2048,100.0,0.01,0.95,0.9954502310993727,0.9957264957264957,0.9904306220095693,1.0,1.0,0.9914529914529915,12,0.0031415326737009473,0.03473031777099169,208.02734632147553,6387723264,0,0.2608695652173913,0.5217391304347826,9.0,1.1666666666666667,nan
R3_vlm_hidden,common_256,17,2048,256,1.0,0.01,0.95,0.9924795024031665,0.9925228712174525,0.995049504950495,0.9901477832512315,0.9898477157360406,0.9948979591836735,12,0.0006262762907314474,0.0353151189868147,207.66326614266953,6387723264,0,0.08333333333333333,0.5,10.5,1.1666666666666667,nan
R3_vlm_hidden,common_256,29,2048,256,1.0,0.01,0.95,0.8959932754272906,0.9061198882108025,0.974025974025974,0.8426966292134831,0.8197424892703863,0.9695431472081218,11,0.0006125996510502151,0.033624227706486993,205.81048477800132,6387723264,0,0.18181818181818182,0.45454545454545453,14.0,1.0833333333333333,0.0
R3_vlm_hidden,common_256,41,2048,256,0.1,0.01,0.95,0.8962842712842713,0.9137642018997951,0.9913419913419913,0.8388278388278388,0.7990867579908676,0.9887005649717514,11,0.0006301935353794669,0.03353342980651244,205.0831428423303,6387723264,0,0.0,0.34782608695652173,13.0,1.1666666666666667,1.0
R3_vlm_hidden,common_256,53,2048,256,100.0,0.01,0.75,0.9769580360176691,0.9769585253456221,0.9726027397260274,0.9815668202764977,0.9813953488372092,0.9723502304147466,12,0.0006449125425761212,0.03566764909143482,209.84981611801186,6387723264,0,0.0,0.0,20.0,1.0833333333333333,nan
R3_vlm_hidden,common_256,67,2048,256,100.0,0.01,0.85,0.9954502310993727,0.9957264957264957,0.9904306220095693,1.0,1.0,0.9914529914529915,12,0.000654690063919116,0.03473031777099169,208.02734632147553,6387723264,0,0.0,0.16666666666666666,17.5,1.6666666666666667,nan
R3b_vision_tokens,native,17,2048,2048,0.1,0.01,0.95,0.9899718508092892,0.9899718508092892,0.9901477832512315,0.9901477832512315,0.9897959183673469,0.9897959183673469,12,0.004176027067657735,0.0353151189868147,207.66326614266953,6387723264,0,0.25,0.75,9.5,1.0,nan
R3b_vision_tokens,native,29,2048,2048,1.0,0.01,0.95,0.9003268889511534,0.9105306184528223,0.9783549783549783,0.846441947565543,0.8240343347639485,0.9746192893401016,11,0.003223959256981747,0.033624227706486993,205.81048477800132,6387723264,0,0.18181818181818182,0.45454545454545453,14.0,1.0,0.0
R3b_vision_tokens,native,41,2048,2048,10.0,0.01,0.95,0.8896942956192877,0.9082696964052897,0.9912280701754386,0.8278388278388278,0.7882882882882883,0.9887005649717514,11,0.00319229787875902,0.03353342980651244,205.0831428423303,6387723264,0,0.08695652173913043,0.34782608695652173,13.0,1.25,1.0
